Nom,Quantité,Composant
"U1",1," Arduino Uno R3"
"PING1",1," Capteur de distance par ultrasons"
"SERVO1",1,"Positionnel Microservomoteur"
"PIR1",1,"-3.651413186287641 , -164.45798103189736 , -151.61364581348164  Capteur infrarouge passif"
"M1",1," Moteur à courant continu"
"K1, K2",2," Relais unipolaire bidirectionnel"
"P1",1,"15.399999999999999 , 0.2  Bloc d'alimentation"
"S1",1," Interrupteur à glissière"
"R1",1," Photorésistance"
"R2",1,"1 kΩ Résistance"
"L1, L2",2," Ampoule"
"GAS1",1," Capteur de gaz"
"PIEZO1",1," Buzzer piézoélectrique"
"R3",1,"5 kΩ Résistance"
"U2",1," Écran LCD 16x2"
"Rpot1",1,"250 kΩ Potentiomètre"
"U3",1," Capteur de température [TMP36]"
"R4",1,"220 Ω Résistance"
